Variant ID;Chromosome;Position;Detection method;Data set;Variant type;Length (bp);TE;Frequency;P-value*;Effect+;Gene(s) in 2 Kb proximity;Gene(s) coordiantes;Position(s) respect the gene(s);Overlapping Related QTL in SNP-seek
DEL:1:10430143..10430381;1;10430143;BLINK;SVs;SV;-238;-;0.429;8.67E-10;-;Os01g0289100 (Conserved hypothetical);chr01:10432248..10432766 (- strand);Downstream;No
SNP:1:18198700;1;18198700;GLM;SNPs, SVs+SNPs;SNP;1;-;0.399;6.6172E-09;-0.11329879;-;-;-;No
INS:1:35198521..35198521;1;35198521;BLINK;SVs;SV;522;Os3550;0.313;2.42E-08;-;-;-;-;No
SNP:1:35204874;1;35204874;BLINK;SNPs;SNP;1;-;0.166;0.000000113;-;-;-;-;No
INS:1:35806824..35806824;1;35806824;GLM;SVs+SNPs;SV;5507;-;0.153;2.75325E-07;0.151565058;-;-;-;No
DEL:2:30265994..30266034;2;30265994;BLINK;SVs;SV;-40;-;0.049;8.02E-13;-;Os02g0727300 (OsPUB21);chr02:30266710..30271899 (+ strand);Upstream;No
SNP:2:30280890;2;30280890;BLINK;SVs+SNPs;SNP;1;-;0.043;6.55E-08;-;"Os02g0727500 (DUF 1574); Os02g0727700 (OsRING338)";"chr02:30276458..30279263 (- strand); chr02:30282358..30283676 (+ strand)";"Upstream; Upstream";No
INS:3:18683052..18683052;3;18683052;BLINK;SVs;SV;762;Os0060_LTR;0.104;2.66E-09;-;Os03g0441400 (Pentatricopeptide repeat domain containing protein);chr03:18676911..18682844 (- strand);Upstream;Yes
DEL:3:25472684..25472817;3;25472684;BLINK;SVs;SV;-133;-;0.313;0.00000012;-;-;-;-;Yes
SNP:5:2420374;5;2420374;GLM;SNPs;SNP;1;-;0.319;2.84731E-07;-0.113205948;-;-;-;No
SNP:5:3629640;5;3629640;GLM;SNPs;SNP;1;-;0.472;3.84862E-07;-0.112231156;Os05g0161500 (OsCRSH2);chr05:3626394..3629080 (+ strand);Downstream;No
SNP:5:3635568;5;3635568;GLM;SNPs;SNP;1;-;0.46;2.64305E-07;-0.110605962;-;-;-;No
SNP:5:3640702;5;3640702;GLM;SNPs;SNP;1;-;0.454;5.08383E-08;-0.115998368;"Os05g0161700 (Hypothetical); Os05g0161800 (OsCRSH3)";"chr05:3638122..3639997 (- strand); chr05:3638255..3640497 (+ strand)";"Upstream; Downstream";No
INS:5:3777849..3777849;5;3777849;GLM;SVs+SNPs;SV;191;-;0.515;3.10176E-07;-0.120665963;-;-;-;No
SNP:5:4209013;5;4209013;GLM;SNPs;SNP;1;-;0.46;2.61966E-09;-0.131503327;Os05g0170200 (OsUSP22);chr05:4205610..4207693 (+ strand);Downstream;No
SNP:5:4225493;5;4225493;GLM;SNPs, SVs+SNPs;SNP;1;-;0.497;4.45607E-08;-0.125949808;Os05g0170600 (OsCLE503);chr05:4224586..4226767 (- strand);1st intron;No
SNP:5:4597019;5;4597019;GLM;SNPs, SVs+SNPs;SNP;1;-;0.472;1.26445E-08;-0.123562224;-;-;-;No
INS:5:4625421..4625421;5;4625421;GLM;SVs+SNPs;SV;244;-;0.479;1.84193E-07;-0.112980894;Os05g0177500 (OsUGT5);chr05:4626474..4628310 (- strand);Downstream;No
SNP:5:4655414;5;4655414;GLM;SVs+SNPs;SNP;1;-;0.485;0.000000187;0.117;"Os05g0177900 (Conserved hypothetical); Os05g0178000 (NPH3 domain containing protein)";"chr05:4653190..4658097 (- strand); chr05:4653226..4658040 (+ strand)";"1st intron; 1st intron";No
SNP:5:4700659;5;4700659;GLM;SNPs;SNP;1;-;0.448;6.14377E-09;0.134111531;-;-;-;No
SNP:5:4722586;5;4722586;GLM;SNPs, SVs+SNPs;SNP;1;-;0.479;1.02E-08;-0.129313887;Os05g0179100 (DVL family protein);chr05:4722809..4723431 (+ strand);Upstream;No
SNP:5:4773265;5;4773265;GLM;SNPs, SVs+SNPs;SNP;1;-;0.479;2.16831E-10;-0.146107473;-;-;-;No
