Variant ID;Chromosome;Position;Detection method;Data set;Variant type;Length (bp);TE;Frequency;P-value*;Effect+;Gene(s) in 2 Kb proximity;Gene(s) coordiantes;Position(s) respect the gene(s);Overlapping Related QTL in SNP-seek
SNP:3:24448084;3;24448084;BLINK;SNPs;SNP;1;-;0.117;1.93E-08;-;Os03g0638200 (OCT7_Ath);chr03:24449135..24453890 (+ strand);Upstream;Yes
DEL:5:1786518..1786578;5;1786518;GLM;SVs;SV;-60;-;0.54;0.000000989;7.31;Os05g0130400 (OsDUF247);chr05:1785142..1791282 (- strand);2nd exon;No
DEL:5:1806251..1808412;5;1806251;GLM;SVs;SV;-2161;Os0191;0.448;0.0000005;8.22;-;-;-;No
DEL:5:1811883..1812035;5;1811883;GLM;SVs;SV;-152;-;0.454;0.000000223;8.33;-;-;-;No
DEL:5:1812413..1825299;5;1812413;GLM;SVs;SV;-12886;Os0419_INT;0.442;0.00000078;7.95;-;-;-;No
DEL:5:1833930..1834141;5;1833930;GLM;SVs;SV;-211;-;0.448;0.0000005;8.22;Os05g0131100 (Conserved hypothetical);chr05:1830765..1833326 (- strand);Upstream;No
INS:5:1841844..1841844;5;1841844;GLM;SVs;SV;246;-;0.448;0.0000005;8.22;Os05g0131401 (Conserved hypothetical);chr05:1840616..1844553 (- strand);3rd intron;No
INS:5:1842218..1842218;5;1842218;GLM;SVs;SV;51;-;0.448;0.0000005;8.22;Os05g0131401 (Conserved hypothetical);chr05:1840616..1844553 (- strand);2nd intron;No
INS:5:1863813..1863813;5;1863813;GLM;SVs;SV;297;-;0.454;0.000000479;8.15;"Os05g0131900 (Conserved hypothetical); Os05g0132000 (Pentatricopeptide repeat domain containing protein)";"chr05:1859669..1863266 (+ strand); chr05:1864582..1866585 (+ strand)";"Downstream; Upstream";No
DEL:5:1882589..1882817;5;1882589;GLM;SVs;SV;-228;-;0.442;0.00000078;7.95;Os05g0132300 (hypothetical);chr05:1882395..1882963 (+ strand);1st exon-3' UTR;No
INS:5:1883597..1883597;5;1883597;GLM;SVs;SV;4430;-;0.448;0.00000115;7.95;"Os05g0132300 (hypothetical); Os05g0132400 (Agenet domain containing protein)";"chr05:1882395..1882963 (+ strand); chr05:1885155..1887809 (- strand)";"Downstream; Downstream";No
INS:5:1906173..1906173;5;1906173;GLM;SVs;SV;217;Os0073;0.436;0.000000545;8.03;Os05g0132700 (Os2R_MYB52/OsMYB2-61);chr05:1907665..1909355 (- strand);Downstream;No
DEL:5:1921505..1922919;5;1921505;GLM, BLINK;SVs, SVs+SNPs;SV;-1414;-;0.546;2.89E-11;7.04;Os05g0133100 (OsGlnB);chr05:1924276..1927242 (-strand);Downstream;No
DEL:5:1931590..1931638;5;1931590;GLM;SVs;SV;-48;-;0.448;0.000000344;8.17;Os05g0133401 (OsGELP60);chr05:1931890..1934198 (+ strand);Upstream;No
INS:5:1966375..1966375;5;1966375;GLM;SVs;SV;204;-;0.442;0.00000078;7.95;Os05g0133900 (OsDRM3/DRM2-2);chr05:1965596..1974888 (+ strand);1st intron;No
INS:5:1986079..1986079;5;1986079;GLM;SVs;SV;12881;Os0016_INT;0.442;0.00000078;7.95;-;-;-;No
INS:5:1987361..1987361;5;1987361;GLM;SVs;SV;921;-;0.558;0.000000631;-7.99;-;-;-;No
