Variant ID;Chromosome;Position;Detection method;Data set;Variant type;Length (bp);TE;Frequency;P-value*;Effect+;Gene(s) in 2 Kb proximity;Gene(s) coordiantes;Position(s) respect the gene(s);Overlapping Related QTL in SNP-seek
INS:1:1505171..1505171;1;1505171;GLM;SVs;SV;152;Os0005;0.135;0.000000154;-0.423;Os01g0127300 (OsABCI4/OsISC18);chr01:1504037..1508057 (- strand);2nd intron;No
DEL:1:1873559..1873632;1;1873559;GLM;SVs;SV;-73;-;0.129;0.00000104;-0.366;-;-;-;No
INS:1:1877157..1877157;1;1877157;GLM;SVs;SV;2946;Os0376_LTR;0.11;0.000000613;-0.394;"Os01g0134200 (Similar to Universal stress protein family protein); Os01g0134200 (hypothetical conserved)";"chr01:1876913..1879901 (+ strand); chr01:1876913..1879901 (+ strand)";"1st exon; Upstream";No
DEL:1:1883686..1883731;1;1883686;GLM;SVs;SV;-45;-;0.117;0.000000506;-0.394;-;-;-;No
INS:1:1936099..1936099;1;1936099;GLM;SVs;SV;1092;Os0016_LTR;0.166;0.00000122;-0.342;Os01g0135800 (Similar to Cytosolic class I small heat shock protein 3B);chr01:1934117..1934924 (+ strand);Downstream;No
INS:1:1942630..1942630;1;1942630;GLM;SVs;SV;627;Os0752;0.147;0.00000122;-0.337;"Os01g0135900 (OsHsp17.9B); Os01g0136000 (OsHsp16.9C); Os01g0136050 (Similar to 16.9 kDa heat shock protein)";"chr01:1941012..1941851 (+ strand); chr01:1944276..1944948 (- strand); chr01:1944426..1944968 (+ strand)";"Downstream; Downstream; Upstream";No
INS:1:1947552..1947552;1;1947552;GLM;SVs;SV;3390;Os0142_LTR;0.147;0.00000122;-0.337;Os01g0136100 (OsHsp16.9A);chr01:1948773..1949587 (- strand);Downstream;No
INS:1:1951600..1951600;1;1951600;GLM;SVs;SV;70;-;0.153;0.00000122;-0.337;Os01g0136200 (OsHsp16.9B);chr01:1951930..1952681 (+ strand);Upstream;No
INS:1:1956729..1956729;1;1956729;GLM;SVs;SV;264;Os0049;0.153;0.00000122;-0.337;"Os01g0136300 (Conserved hypothetical); Os01g0136400 (OsWAK1)";"chr01:1955181..1955914 (- strand); chr01:1957847..1967451 (- strand)";"Upstream; Downstream";No
DEL:1:1961317..1961580;1;1961317;GLM;SVs;SV;-263;Os0005;0.147;0.00000122;-0.337;"Os01g0136400 (OsWAK1); Os01g0136450 (Conserved hypothetical); Os01g0136500 (Conserved hypothetical)";"chr01:1957847..1967451 (- strand); chr01:1961587..1962403 (- strand); chr01:1962884..1963627 (- strand)";"1st intron; Downstream; Downstream";No
