Variant ID;Chromosome;Position;Detection method;Data set;Variant type;Length (bp);TE;Frequency;P-value*;Effect+;Gene(s) in 2 Kb proximity;Gene(s) coordiantes;Position(s) respect the gene(s);Overlapping Related QTL in SNP-seek
SNP:1:1831797;1;1831797;BLINK;SNPs;SNP;1;-;0.325;2.82E-23;-;-;-;-;No
SNP:1:2756000;1;2756000;BLINK;SVs+SNPs;SNP;1;-;0.319;4.22E-18;-;"Os01g0150900 (Conserved hypothetical); Os01g0150950 (Conserved hypothetical)";"chr01:2752144..2761554 (+ strand); chr01:2753663..2755342 (+ strand)";"2nd intron; Downstream";No
INS:1:2906453..2906453;1;2906453;GLM;SVs;SV;356;Os0007_Castaway;0.313;0.000000234;4.31;Os01g0154100 (DUF 674);chr01:2907071..2907926 (- strand);Downstream;No
DEL:1:3057978..3058088;1;3057978;GLM, BLINK;SVs;SV;-110;-;0.307;4.69E-08;3.93;"Os01g0158200 (OsSCP1); Os01g0158400 (Galactose-binding like domain containing protein)";"chr01:3054481..3057198 (+ strand); chr01:3058564..3059717 (- strand)";"Downstream; Downstream";No
DEL:1:3095352..3095393;1;3095352;GLM;SVs;SV;-41;-;0.3;0.00000116;3.93;-;-;-;No
SNP:1:11025198;1;11025198;GLM;SNPs, SVs+SNPs;SNP;1;-;0.037;2.81E-11;11.21;Os01g0300600 (Nodal modulator 1);chr01:11025439..11038923 (-strand);Downstream;No
SNP:1:11493952;1;11493952;GLM;SNPs;SNP;1;-;0.031;7.58E-08;8.39;Os01g0307562 (Similar to JD1);chr01:11494771..11496222 (-strand);Downstream;No
SNP:1:11778974;1;11778974;BLINK;SVs+SNPs;SNP;1;-;0.135;3.92E-09;-;-;-;-;No
DEL:1:20204026..20204072;1;20204026;BLINK;SVs+SNPs;SV;-46;-;0.043;0.000000108;-;-;-;-;No
INS:1:23331772..23331772;1;23331772;GLM;SVs, SVs+SNPs;SV;48;-;0.08;5.56E-09;6.85;"Os01g0595300 (MULE transposase); Os01g0595400 (DUF 538)";"chr01:23329802..23331517 (+ strand); chr01:23333024..23337221 (+ strand)";"Downstream; Upstream";No
INS:1:23343085..23343085;1;23343085;GLM;SVs;SV;635;-;0.251;0.000000348;4.42;Os01g0595600 (OsD14L3/OsD14L2b);chr01:23343306..23345362 (+ strand);Upstream;No
INS:1:23347539..23347539;1;23347539;GLM;SVs;SV;85;-;0.233;0.00000129;4.4;"Os01g0595700 (OsRALyase1/OsFBX17); Os01g0595725 (hypothetical)";"chr01:23347750..23349352 (+ strand); chr01:23347762..23353061 (- strand)";"Upstream; Downstream";No
INS:1:23349306..23349306;1;23349306;GLM;SVs;SV;147;-;0.227;0.000000513;4.67;"Os01g0595700 (OsRALyase1/OsFBX17); Os01g0595725 (hypothetical)";"chr01:23347750..23349352 (+ strand); chr01:23347762..23353061 (- strand)";"3rd exon; 1st intron";No
INS:1:23360085..23360085;1;23360085;GLM;SVs;SV;154;Os0005;0.245;0.000000531;4.47;"Os01g0595900 (OsFbox23/OsSTA20/OsFBD3); Os01g0596001 (hypothetical)";"chr01:23357007..23359952 (+ strand); chr01:23357101..23358961 (- strand)";"Downstream; Upstream";No
DEL:1:23502313..23508734;1;23502313;GLM;SVs;SV;-6421;Os0076_INT;0.748;2.7E-09;-5.28;"Os01g0598200 (OsCBL5); Os01g0598400 (OsFbox28/OsFBL2)";"chr01:23498445..23502375 (+ strand); chr01:23510098..23512343 (- strand)";"3' UTR-Downstream; Downstream";No
DEL:1:23521908..23522244;1;23521908;GLM;SVs;SV;-336;Os0885;0.27;2.75E-09;5.22;-;-;-;No
INS:1:23525450..23525450;1;23525450;GLM;SVs;SV;468;-;0.742;2.75E-09;-5.22;-;-;-;No
DEL:1:23525854..23526561;1;23525854;GLM;SVs;SV;-707;Os0020_LTR_Bajie;0.264;2.75E-09;5.22;-;-;-;No
SNP:1:23569348;1;23569348;GLM;SVs+SNPs;SNP;1;-;0.123;3.04E-08;5.89;Os01g0600200 (Ser/Thr specific protein phosphatase 2A B regulatory subunit beta isoform);chr01:23569843..23576519 (+strand);Upstream;No
SNP:1:23592799;1;23592799;GLM;SVs+SNPs;SNP;1;-;0.123;4.9E-09;6.17;-;-;-;No
SNP:1:23613068;1;23613068;GLM;SNPs, SVs+SNPs;SNP;1;-;0.129;7.34E-09;6.13;Os01g0601000 (OsEnS-10/OsMGT);chr01:23611048..23615257 (-strand);1st intron;No
SNP:1:23618728;1;23618728;GLM;SNPs, SVs+SNPs;SNP;1;-;0.117;5.18E-08;5.7;-;-;-;No
SNP:1:23622342;1;23622342;GLM;SNPs, SVs+SNPs;SNP;1;-;0.129;4.54E-09;6.46;Os01g0601200 (OsRLCK41);chr01:23624289..23626972 (+strand);Upstream;No
SNP:1:23991788;1;23991788;GLM;SNPs;SNP;1;-;0.104;2.28E-10;6.6;-;-;-;No
SNP:1:24237869;1;24237869;GLM;SNPs, SVs+SNPs;SNP;1;-;0.092;7.27E-08;5.98;-;-;-;No
SNP:1:24366725;1;24366725;GLM;SNPs, SVs+SNPs;SNP;1;-;0.074;1.31E-08;6.79;"Os01g0614300 (OsTBL16); Os01g0614400 (Conserved hypothetical)";"chr01:24364146..24367678 (+strand); chr01:24366702..24367660 (-strand)";"1st intron; 3' UTR";No
SNP:1:31217350;1;31217350;GLM;SVs+SNPs;SNP;1;-;0.031;6.96E-08;10.48;-;-;-;No
SNP:1:32043395;1;32043395;BLINK;SNPs;SNP;1;-;0.08;1.37E-08;-;-;-;-;No
SNP:1:35221850;1;35221850;GLM;SNPs;SNP;1;-;0.061;0.000000208;-6.63;-;-;-;Yes
SNP:2:3622167;2;3622167;GLM;SNPs;SNP;1;-;0.055;4.53E-08;8.41;"Os02g0167366 (hypothetical); Os02g0167300 (OsTUB5); Os02g0167500 (OsLowAC1/OsRRM1-24)";"chr02:3619823..3622457 (-strand); chr02:3619840..3622862 (+strand); chr02:3623608..3631551 (-strand)";"5' UTR; 3rd exon; Downstream";No
INS:2:7802539..7802539;2;7802539;GLM;SVs;SV;86;-;0.055;0.000000135;7.58;-;-;-;No
SNP:2:10293560;2;10293560;GLM;SNPs, SVs+SNPs;SNP;1;-;0.031;0.000000248;8.87;-;-;-;No
SNP:2:10365734;2;10365734;GLM;SNPs, SVs+SNPs;SNP;1;-;0.031;0.000000248;8.87;-;-;-;No
SNP:2:18899834;2;18899834;BLINK;SNPs;SNP;1;-;0.104;1.18E-14;-;-;-;-;No
SNP:2:34511185;2;34511185;BLINK;SNPs;SNP;1;-;0.074;5.46E-08;-;Os02g0807800 (OsWAK20);chr02:34509523..34512673 (-strand);2nd intron;Yes
SNP:3:497197;3;497197;GLM;SNPs, SVs+SNPs;SNP;1;-;0.055;0.00000002;8.51;Os03g0108400 (Similar to Charged multivesicular body protein 3);chr03:497751..499662 (+strand);Upstream;No
SNP:3:644143;3;644143;GLM;SVs+SNPs;SNP;1;-;0.037;1.25E-08;10.07;Os03g0111100 (Similar to Dihydrofolate synthetase /folylpolyglutamate synthetase);chr03:640597..645631 (-strand);5th intron;No
SNP:3:7499965;3;7499965;BLINK;SNPs;SNP;1;-;0.037;1.31E-27;-;Os03g0241900 (SAP);chr03:7500164..7503768 (-strand);Downstream;No
SNP:3:8238559;3;8238559;BLINK;SNPs;SNP;1;-;0.11;5.94E-12;-;-;-;-;No
SNP:3:10307494;3;10307494;GLM;SNPs;SNP;1;-;0.049;3.84E-08;8.91;-;-;-;No
SNP:3:10317802;3;10317802;GLM;SVs+SNPs;SNP;1;-;0.037;1.85E-08;9.08;Os03g0295300 (DUF 3615) ;chr03:10314345..10316584 (-strand);Upstream;No
SNP:3:10396582;3;10396582;GLM;SNPs, SVs+SNPs;SNP;1;-;0.043;1.85E-08;9.08;"Os03g0297100 (OsRPS7a); Os03g0297300 (Similar to 40S ribosomal protein S7)";"chr03:10393657..10395829 (+strand); chr03:10397906..10400008 (+strand)";"Downstream; Upstream";No
SNP:3:10433997;3;10433997;GLM;SNPs;SNP;1;-;0.049;3.84E-08;8.91;Os03g0297700 (Pentatricopeptide repeat domain containing protein);chr03:10428927..10433729 (+strand);Downstream;No
SNP:3:10483911;3;10483911;GLM;SNPs, SVs+SNPs;SNP;1;-;0.049;1.85E-08;9.08;"Os03g0298800 (OsRRM1-56); Os03g0298900 (Similar to Peptidase); Os03g0299050 (Conserved hypothetical)";"chr03:10478466..10482571 (-strand); chr03:10483746..10485130 (-strand); chr03:10484222..10485047 (+strand)";"Upstream; 3' UTR; Downstream";No
SNP:3:11577817;3;11577817;BLINK;SNPs;SNP;1;-;0.08;1.43E-09;-;-;-;-;No
SNP:3:12339678;3;12339678;BLINK;SNPs;SNP;1;-;0.27;5.45E-09;-;"Os03g0334000 (OsAGC7/OsS6K1); Os03g0334050 (hypothetical)";"chr03:12340180..12344264 (-strand); chr03:12340375..12342850 (+strand)";"Downstream; Upstream";No
SNP:3:19631190;3;19631190;GLM;SVs+SNPs;SNP;1;-;0.061;3.68E-08;6.87;-;-;-;No
SNP:3:30416961;3;30416961;BLINK;SNPs;SNP;1;-;0.055;1.05E-14;-;-;-;-;No
INS:4:20080868..20080868;4;20080868;BLINK;SVs;SV;3013;-;0.049;0.000000244;-;Os04g0404800 (Similar to H0502B11.5 protein);chr04:20077907..20082924 (+ strand);10th intron;No
DEL:4:28770103..28770348;4;28770103;BLINK;SVs;SV;-245;Os0026;0.037;4.75E-08;-;-;-;-;No
SNP:4:34561028;4;34561028;BLINK;SNPs;SNP;1;-;0.209;1.98E-14;-;Os04g0676700 (OsMYB6/OsARE4);chr04:34555255..34559555 (-strand);Upstream;No
SNP:5:3101998;5;3101998;GLM;SNPs, SVs+SNPs;SNP;1;-;0.049;1.33E-08;8.66;-;-;-;No
INS:5:3108413..3108413;5;3108413;GLM, BLINK;SVs, SVs+SNPs;SV;442;-;0.049;2.68E-10;9.83;-;-;-;No
SNP:5:3108413;5;3108413;GLM;SNPs, SVs+SNPs;SNP;1;-;0.951;0.000000209;-7.34;-;-;-;No
SNP:5:3111608;5;3111608;GLM;SNPs;SNP;1;-;0.061;0.000000371;7.18;-;-;-;No
SNP:5:3127846;5;3127846;GLM;SNPs;SNP;1;-;0.067;0.000000371;7.18;-;-;-;No
SNP:5:3128413;5;3128413;GLM;SVs+SNPs;SNP;1;-;0.055;1.33E-08;8.66;-;-;-;No
SNP:5:3138376;5;3138376;GLM;SNPs, SVs+SNPs;SNP;1;-;0.049;1.33E-08;8.66;-;-;-;No
SNP:5:3157556;5;3157556;GLM;SNPs, SVs+SNPs;SNP;1;-;0.049;1.33E-08;8.66;Os05g0154300 (LRR receptor kinase);chr05:3156545..3158232 (-strand);1st intron;No
SNP:5:3175477;5;3175477;GLM;SNPs;SNP;1;-;0.067;0.00000011;7.14;-;-;-;No
SNP:5:3205922;5;3205922;GLM;SVs+SNPs;SNP;1;-;0.055;0.000000126;7.47;Os05g0154700 (OsSRS3/OsSAR1/OsKIN13A);chr05:3203306..3209681 (+strand);5th intron;No
SNP:5:8856627;5;8856627;BLINK;SVs+SNPs;SNP;1;-;0.104;2.92E-17;-;-;-;-;No
SNP:5:10620130;5;10620130;GLM;SNPs;SNP;1;-;0.049;2.69E-08;8.07;-;-;-;No
SNP:6:8187863;6;8187863;GLM;SNPs;SNP;1;-;0.497;0.000000165;3.99;-;-;-;Yes
DEL:6:19216843..19216896;6;19216843;BLINK;SVs, SVs+SNPs;SV;-53;-;0.031;3.14E-08;-;-;-;-;Yes
SNP:6:20578573;6;20578573;BLINK;SVs+SNPs;SNP;1;-;0.061;2.14E-12;-;-;-;-;Yes
SNP:6:24765795;6;24765795;BLINK;SVs+SNPs;SNP;1;-;0.086;3.16E-24;-;-;-;-;No
INS:6:26245883..26245883;6;26245883;BLINK;SVs+SNPs;SV;125;-;0.049;1.41E-20;-;-;-;-;No
SNP:6:29407134;6;29407134;BLINK;SNPs;SNP;1;-;0.043;4.17E-14;-;Os06g0699600 (OsCCT25/OsCMF7);chr06:29407744..29411786 (+strand);Upstream;No
INS:7:777266..777266;7;777266;BLINK;SVs+SNPs;SV;58;-;0.037;4.31E-11;-;-;-;-;No
DEL:7:1682919..1683071;7;1682919;GLM;SVs;SV;-152;Os0005;0.055;0.000000038;7.86;"Os07g0131850 (hypothetical); Os07g0132000 (LRR-RLK)";"chr07:1678147..1681684 (- strand); chr07:1683101..1686797 (+ strand)";"Upstream; Upstream";No
INS:7:1690433..1690433;7;1690433;GLM;SVs;SV;243;Os0026;0.055;0.000000038;7.86;-;-;-;No
SNP:7:1711818;7;1711818;GLM, BLINK;SNPs, SVs+SNPs;SNP;1;-;0.043;7.36E-10;9.16;Os07g0132500 (Similar to Resistance protein candidate);chr07:1713426..1714497 (+ strand);Upstream;No
DEL:7:1766032..1766326;7;1766032;GLM;SVs;SV;-294;Os0029;0.129;7.14E-09;6.33;-;-;-;No
SNP:7:1920065;7;1920065;GLM;SNPs, SVs+SNPs;SNP;1;-;0.08;7.36E-10;9.16;-;-;-;No
SNP:7:1942987;7;1942987;GLM, BLINK;SNPs, SVs+SNPs;SNP;1;-;0.061;2.1E-09;8.5;Os07g0136800 (Homeodomain-like containing protein);chr07:1944420..1960442 (+strand);Upstream;No
SNP:7:2045626;7;2045626;GLM;SVs+SNPs;SNP;1;-;0.031;0.0000002;8.9;-;-;-;No
SNP:7:18817715;7;18817715;GLM, BLINK;SNPs, SVs+SNPs;SNP;1;-;0.061;2.67E-10;8.34;-;-;-;Yes
SNP:7:18856527;7;18856527;GLM;SNPs, SVs+SNPs;SNP;1;-;0.061;8.58E-08;7.56;-;-;-;Yes
SNP:7:18870463;7;18870463;GLM;SNPs, SVs+SNPs;SNP;1;-;0.061;8.58E-08;7.56;-;-;-;Yes
SNP:7:19006293;7;19006293;GLM, BLINK;SNPs;SNP;1;-;0.098;1.18E-22;7.62;Os07g0502900 (OsUGT707A4);chr07:19008024..19009668 (-strand);Downstream;Yes
SNP:7:19209152;7;19209152;GLM;SNPs, SVs+SNPs;SNP;1;-;0.067;0.00000011;7.39;-;-;-;Yes
