Variant ID;Chromosome;Position;Detection method;Data set;Variant type;Length (bp);TE;Frequency;P-value*;Effect+;Gene(s) in 2 Kb proximity;Gene(s) coordiantes;Position(s) respect the gene(s);Overlapping Related QTL in SNP-seek
SNP:1:445832;1;445832;Blink;SNPs;SNP;1;-;0.166;4.61E-10;-;Os01g0108200 (Similar to Prolyl endopeptidase);chr01:441203..448951 (+ strand);6th intron;No
SNP:1:3346712;1;3346712;BLINK;SVs+SNPs;SNP;1;-;0.239;2.51E-11;-;Os01g0164800 (Breast cancer type 2 susceptibility protein domain containing protein);chr01:3343531..3346705 (- strand);Upstream;No
DEL:1:11793384..11793850;1;11793384;Blink;SVs;SV;-466;Os0255;0.166;0.000000166;-;Os01g0313600 (Conserved hypothetical);chr01:11793851..11795359 (- strand);3' UTR;No
DEL:1:30149593..30150705;1;30149593;Blink;SVs;SV;-1112;Os0016_LTR;0.031;4.78E-08;-;-;-;-;No
SNP:1:38254008;1;38254008;Blink;SNPs;SNP;1;-;0.393;7.2E-11;-;Os01g0881300 (OsSWEET1a);chr01:38254053..38257595 (+ strand);Upstream;Yes
DEL:1:38382760..38383142;1;38382760;BLINK;SVs, SVs+SNPs;SV;-382;-;0.362;5.85E-20;-;"Os01g0883800 (SD1); Os01g0883850 (hypothetical)";"chr01:38382385..38385469 (+ strand); chr01:38382586..38383358 (- strand)";"1st exon-2nd exon; Deletes part of the exon and the 5' UTR";Yes
DEL:2:1456560..1456604;2;1456560;Blink;SVs;SV;-44;-;0.049;0.000000433;-;"Os02g0128100 (Conserved hypothetical); Os02g0128200 (bZIP13)";"chr02:1453367..1456346 (+ strand); chr02:1457228..1461428 (+ strand)";"Downstream; Upstream";Yes
SNP:2:6481761;2;6481761;BLINK;SVs+SNPs;SNP;1;-;0.374;6.52E-08;-;Os02g0215700 (Protein kinase, catalytic domain domain containing protein);chr02:6476685..6480097 (- strand);Upstream;Yes
SNP:2:16340411;2;16340411;BLINK;SVs+SNPs;SNP;1;-;0.043;0.000000127;-;-;-;-;Yes
INS:2:24391155..24391155;2;24391155;GLM;SVs;SV;90;-;0.049;0.000000876;12.36;"Os02g0616300 (similar to argonaute MEL1); Os02g0616450 (hypothetical)";"chr02:24391316..24406611 (- strand); chr02:24391737..24395742 (+ strand)";"Downstream; Upstream";Yes
SNP:3:12760817;3;12760817;BLINK;SVs+SNPs;SNP;1;-;0.098;9.79E-12;-;-;-;-;No
SNP:3:14607982;3;14607982;Blink;SNPs;SNP;1;-;0.061;3.77E-09;-;-;-;-;No
DEL:5:5027638..5030325;5;5027638;GLM;SVs;SV;-2687;-;0.037;2.85E-08;15.69;Os05g0183300 (OsMLO12);chr05:5024962..5032339 (- strand);3rd intron;No
INS:5:5079524..5079524;5;5079524;GLM, Blink;SVs;SV;162;-;0.031;1.73E-14;18.29;-;-;-;No
